community_id;date_created;title;current_subs;ID;Href;Verivication;First post;Second post
47187279609892;24.04.2008;ЦИРК и все,что с ним связано (артисты, работники);11013;65;https://ok.ru/group/47187279609892;ЛОЖЬ;1:08;вчера 16:53
53885692543110;28.07.2018;СОЮЗ ЭКСКАВАТОРЩИКОВ!;10828;66;https://ok.ru/group/53885692543110;ЛОЖЬ;вчера 07:07;вчера 07:07
52225960640728;10.09.2014;Работа в Краснокаменске;10805;67;https://ok.ru/group/52225960640728;ЛОЖЬ;13 мая;30 мая
52597455126714;10.04.2015;Работа;10741;68;https://ok.ru/group/52597455126714;ЛОЖЬ;27 фев;15 фев
59251726352483;10.11.2020;Массовки.ру;10672;69;https://ok.ru/group/59251726352483;ЛОЖЬ;31 мая;11:15
57340471148601;25.03.2015;Работа Барнаул;10185;70;https://ok.ru/group/57340471148601;ЛОЖЬ;12:06;11:15
51992408424645;07.01.2014;Работа в Тайшете и Тайшетском районе.;10166;71;https://ok.ru/group/51992408424645;ЛОЖЬ;3 сен 2022;11:50
54641615896750;27.12.2018;Вакансии и товары;9963;73;https://ok.ru/group/54641615896750;ЛОЖЬ;1 июн;28 мая
61141903671439;30.04.2022;Layboard.com - Вакансии за границей;9889;74;https://ok.ru/group/61141903671439;ЛОЖЬ;7 июл 2022;11:56
59794781569074;24.01.2019;Вакансия.ру;9838;75;https://ok.ru/group/59794781569074;ЛОЖЬ;30 мая;28 мая
58465601847377;21.10.2020;GSR РАБОТА;9716;76;https://ok.ru/group/58465601847377;ЛОЖЬ;12 апр;3 апр
54558746476558;04.04.2015;Контент-студия Rise;9547;77;https://ok.ru/group/54558746476558;ЛОЖЬ;20 мая 2023;9 мая
53386118496465;21.03.2017;Работа в НОРНИКЕЛЕ;9544;78;https://ok.ru/group/53386118496465;ЛОЖЬ;10:23;вчера 12:29
53318828228743;07.07.2017;Дополнительный ИСТОЧНИК ДОХОДА.;9402;79;https://ok.ru/group/53318828228743;ЛОЖЬ;вчера 13:17;15 мая
70000000493183;28.08.2022;Удаленная работа, фриланс, работа в интернете;9086;81;https://ok.ru/group/70000000493183;ЛОЖЬ;25 мар;вчера 19:38
53358202519692;23.08.2017;Работа рядом • Москва • Вахта;9083;82;https://ok.ru/group/53358202519692;ЛОЖЬ;17 мая;вчера 13:25
58110302617850;10.01.2020;Quasa;9005;84;https://ok.ru/group/58110302617850;ЛОЖЬ;10:07;вчера 10:05
44355269296280;26.01.2009;НАЛОГОВИКИ ВСЕХ СТРАН - СОЕДИНЯЙТЕСЬ!!!;8965;85;https://ok.ru/group/44355269296280;ЛОЖЬ;27 ноя 2022;24 апр
57964079677497;23.06.2016;Работа в ДНР;8783;86;https://ok.ru/group/57964079677497;ЛОЖЬ;5 фев;вчера 17:09
54126369767507;26.02.2018;Работа в Алчевске - Вакансии;8768;87;https://ok.ru/group/54126369767507;ЛОЖЬ;7:00;вчера 19:00
55299945267222;01.01.2017;Робота в Польщі Praca w Polsce Работа в Польше;8695;88;https://ok.ru/group/55299945267222;ЛОЖЬ;вчера 08:03;23 мая
55213264863466;04.05.2018;Умная работа в Пензе  Вакансии Пенза;8553;90;https://ok.ru/group/55213264863466;ЛОЖЬ;10:02;вчера 23:54
52991755878548;03.10.2016;Альфа Арс Метизы. Сварка. Металлообработка;8428;92;https://ok.ru/group/52991755878548;ЛОЖЬ;10:00;9:30
54177407631462;25.08.2016;РМЖ — Русский медицинский журнал;8227;93;https://ok.ru/group/54177407631462;ЛОЖЬ;вчера 16:42;30 мая
65678162788402;21.01.2021;Работа. Вакансии. Омск;8223;94;https://ok.ru/group/65678162788402;ЛОЖЬ;12:08;4:32
54090554998901;06.06.2016;Работа в Абакане;7927;95;https://ok.ru/group/54090554998901;ЛОЖЬ;11:29;5:16
54659448242201;13.02.2014;Работа в храме, монастыре, работа для православных;7737;96;https://ok.ru/group/54659448242201;ЛОЖЬ;16 мар 2022;26 апр
54036326514917;26.04.2016;ПРАГА - РАБОТА В ЧЕХИИ;7442;98;https://ok.ru/group/54036326514917;ЛОЖЬ;10 авг 2023;11:06
53013371879532;27.11.2013;Работа - это просто. Вакансии для всех.;7342;99;https://ok.ru/group/53013371879532;ЛОЖЬ;26 мая;22 мая
54807125098733;08.11.2017;Работа в Минске - Belrabota.BY;7260;101;https://ok.ru/group/54807125098733;ЛОЖЬ;11:35;10:36
52439248339013;29.09.2014;РАБОТА В ЖИРНОВСКЕ И РАЙОНЕ.;6941;102;https://ok.ru/group/52439248339013;ЛОЖЬ;5 ноя 2019;11:52
64138486743091;26.08.2020;Работа в России;6890;103;https://ok.ru/group/64138486743091;ЛОЖЬ;12:15;7:51
55439035203602;06.09.2017;Работа вахтой в Москве и МО;6619;104;https://ok.ru/group/55439035203602;ЛОЖЬ;9 апр;1 июн
54734714241026;06.01.2016;Работа в Краснодоне;6595;105;https://ok.ru/group/54734714241026;ЛОЖЬ;10:45;10:37
53243132706988;13.07.2016;ООО ЧОП «ПОЛЮС ЩИТ» охрана вахта;6584;107;https://ok.ru/group/53243132706988;ЛОЖЬ;27 июл 2022;19 апр
56924711289022;24.01.2020;🛠⛏️⚒️ СОЮЗ  ВАХТОВИКОВ 🔧⚙️🔩;6514;108;https://ok.ru/group/56924711289022;ИСТИНА;31 мая;31 мая
53844933410963;28.06.2018;Отдел SST - вакансии и соискатели;6466;109;https://ok.ru/group/53844933410963;ЛОЖЬ;11 фев 2022;29 мая
52504480383165;27.01.2015;РАБОТА В РФ для жителей ДНР ЛНР;6460;110;https://ok.ru/group/52504480383165;ЛОЖЬ;11:45;11:43
62240287031491;22.11.2021;ЕДИНЫЙ АГРЕГАТОР РАБОТ И УСЛУГ- ЕА.РУ;6271;112;https://ok.ru/group/62240287031491;ИСТИНА;28 мая;27 мая
45224394883279;22.03.2009;Работа и бизнес в Испании !;6110;113;https://ok.ru/group/45224394883279;ЛОЖЬ;вчера 09:54;1 июн
58768924016659;27.03.2021;РаботаЗабкрай;6088;114;https://ok.ru/group/58768924016659;ЛОЖЬ;11 сен 2022;1 июн
54308039688207;10.11.2013;ВАХТОВИК НА СЕВЕРЕ. РУ;6018;115;https://ok.ru/group/54308039688207;ЛОЖЬ;26 мар;26 мар
